"","work","dimension","population_size","max_gens","PKG","seconds","generations","diff_fitness","evaluations","initial_temp_1","initial_temp_2","initial_temp","color","base","shape","size","cum_seconds","run","power"
"7862","taskset-3",3,400,10,690.23,9.70473523,23,0.00157400000000507,84896,40.8,38.8,39.8,"red",FALSE,23,4,4513.58007205,"W",71.123011977319
"7863","base-taskset-3",3,400,10,506.67,7.13777235,NA,0,NA,38.6,39,38.8,"blue",TRUE,23,3,4520.7178444,"B",70.9843316871825
"7864","taskset-3",3,400,10,695.97,9.71764566,18,0.00134599999999807,66567,38.6,38.2,38.4,"red",FALSE,23,4,4530.43549006,"W",71.6191991713351
"7865","base-taskset-3",3,400,10,509.15,7.15162139,NA,0,NA,39.1,38,38.55,"blue",TRUE,23,3,4537.58711145,"B",71.1936457810723
"7866","taskset-3",3,400,10,695.95,9.73284474,50,0.000450999999998203,182799,38.4,38.2,38.3,"red",FALSE,23,4,4547.31995619,"W",71.5053017479862
"7867","base-taskset-3",3,400,10,505.65,7.12196733,NA,0,NA,39.4,38.5,38.95,"blue",TRUE,23,3,4554.44192352,"B",70.9986407646158
"7868","taskset-3",3,400,10,696.33,9.74394445,38,9.30000000067821e-05,139299,37.9,38,37.95,"red",FALSE,23,4,4564.18586797,"W",71.4628458293397
"7869","base-taskset-3",3,400,10,507.01,7.1218015,NA,0,NA,37.9,38.8,38.35,"blue",TRUE,23,3,4571.30766947,"B",71.1912568751039
"7870","base-taskset-3",3,400,25,506.65,7.12210719,NA,0,NA,39.8,39,39.4,"blue",TRUE,23,3,4578.42977666,"B",71.1376544165716
"7871","taskset-3",3,400,25,692.05,9.72847961,42,0.000320999999999572,153787,37.9,37.8,37.85,"red",FALSE,23,4,4588.15825627,"W",71.1365010508564
"7872","base-taskset-3",3,400,25,509.34,7.10451178,NA,0,NA,38.4,38,38.2,"blue",TRUE,23,3,4595.26276805,"B",71.6924703304525
"7873","taskset-3",3,400,25,682.04,9.68737042,35,0.000362000000009743,128308,37.9,38.2,38.05,"red",FALSE,23,4,4604.95013847,"W",70.4050707704847
"7874","base-taskset-3",3,400,25,504.98,7.15026559,NA,0,NA,38.9,39.2,39.05,"blue",TRUE,23,3,4612.10040406,"B",70.6239500678464
"7875","taskset-3",3,400,25,701.73,9.77102645,91,0.000195000000005052,332221,38.4,38.2,38.3,"red",FALSE,23,4,4621.87143051,"W",71.8174291709138
"7876","base-taskset-3",3,400,25,512.41,7.1815279,NA,0,NA,40.4,39.2,39.8,"blue",TRUE,23,3,4629.05295841,"B",71.3511117877854
"7877","taskset-3",3,400,25,686.14,9.68732243,46,0.000667000000007079,168140,38.4,38.2,38.3,"red",FALSE,23,4,4638.74028084,"W",70.8286531142125
"7878","base-taskset-3",3,400,25,505.5,7.14773057,NA,0,NA,38.1,38.8,38.45,"blue",TRUE,23,3,4645.88801141,"B",70.7217479799326
"7879","taskset-3",3,400,25,694.05,9.75854298,43,0.000602999999998133,157321,38.9,38.8,38.85,"red",FALSE,23,4,4655.64655439,"W",71.1222978084378
"7880","base-taskset-3",3,400,25,497.96,7.1002153,NA,0,NA,38.1,38.2,38.15,"blue",TRUE,23,3,4662.74676969,"B",70.1330845559007
"7881","taskset-3",3,400,25,690.99,9.73057919,80,0.000140000000001805,292003,50.8,39.2,45,"red",FALSE,23,4,4672.47734888,"W",71.0122168997013
"7882","base-taskset-3",3,400,25,507.47,7.13851373,NA,0,NA,38.4,38.2,38.3,"blue",TRUE,23,3,4679.61586261,"B",71.0890276595434
"7883","taskset-3",3,400,25,695.48,9.76689364,81,0.000205000000008226,295825,39.1,37.8,38.45,"red",FALSE,23,4,4689.38275625,"W",71.2079014715266
"7884","base-taskset-3",3,400,25,506.06,7.12497511,NA,0,NA,38.4,39.2,38.8,"blue",TRUE,23,3,4696.50773136,"B",71.0262130305182
"7885","taskset-3",3,400,25,682.3,9.67985807,31,0.00110000000000809,113790,39.4,37.8,38.6,"red",FALSE,23,4,4706.18758943,"W",70.4865706775802
"7886","base-taskset-3",3,400,25,506.5,7.13123508,NA,0,NA,38.6,39,38.8,"blue",TRUE,23,3,4713.31882451,"B",71.0255649011644
"7887","taskset-3",3,400,25,695.74,9.74040323,35,0.000973000000001889,128122,38.4,38.8,38.6,"red",FALSE,23,4,4723.05922774,"W",71.4282544132416
"7888","base-taskset-3",3,400,25,506.04,7.14409458,NA,0,NA,40.6,39.4,40,"blue",TRUE,23,3,4730.20332232,"B",70.8333287491275
"7889","taskset-3",3,400,25,691.17,9.72602694,65,0.000731000000001814,237975,38.6,38.2,38.4,"red",FALSE,23,4,4739.92934926,"W",71.0639610874859
"7890","base-taskset-3",3,400,25,509.28,7.14344261,NA,0,NA,39.4,39.2,39.3,"blue",TRUE,23,3,4747.07279187,"B",71.2933564115244
"7891","taskset-3",3,400,25,695.85,9.72230034,49,0.000348000000002457,179170,40.8,39,39.9,"red",FALSE,23,4,4756.79509221,"W",71.5725677736057
"7892","base-taskset-3",3,400,25,505.02,7.14544157,NA,0,NA,38.9,37.8,38.35,"blue",TRUE,23,3,4763.94053378,"B",70.6772275796526
"7893","taskset-3",3,400,25,692.63,9.71887972,37,0.000409000000004767,135686,38.9,38.8,38.85,"red",FALSE,23,4,4773.6594135,"W",71.2664442769748
"7894","base-taskset-3",3,400,25,511.45,7.16640843,NA,0,NA,38.9,38.8,38.85,"blue",TRUE,23,3,4780.82582193,"B",71.3676878726266
"7895","taskset-3",3,400,25,691.04,9.70624034,75,0.00175200000001041,273691,38.1,39.2,38.65,"red",FALSE,23,4,4790.53206227,"W",71.1954346681673
"7896","base-taskset-3",3,400,25,503.92,7.11897096,NA,0,NA,38.4,38.2,38.3,"blue",TRUE,23,3,4797.65103323,"B",70.7855113936298
"7897","taskset-3",3,400,25,696.87,9.72081544,41,0.000370000000003756,150200,38.4,38.8,38.6,"red",FALSE,23,4,4807.37184867,"W",71.6884302866674
"7898","base-taskset-3",3,400,25,509.32,7.15366673,NA,0,NA,39.9,38.8,39.35,"blue",TRUE,23,3,4814.5255154,"B",71.1970544929202
"7899","taskset-3",3,400,25,690.3,9.73601121,101,0.000399999999999068,368177,38.6,39.2,38.9,"red",FALSE,23,4,4824.26152661,"W",70.9017260878852
"7900","base-taskset-3",3,400,25,507.06,7.1614468,NA,0,NA,38.9,38.8,38.85,"blue",TRUE,23,3,4831.42297341,"B",70.8041285735726
"7901","taskset-3",3,400,25,686.47,9.69392212,47,0.00013700000000938,171985,38.9,39.2,39.05,"red",FALSE,23,4,4841.11689553,"W",70.8144744203908
"7902","base-taskset-3",3,400,25,507.33,7.14145395,NA,0,NA,38.9,39.2,39.05,"blue",TRUE,23,3,4848.25834948,"B",71.0401556254522
"7903","taskset-3",3,400,25,682.6,9.6904848,47,0.000337000000001808,172185,39.6,38.8,39.2,"red",FALSE,23,4,4857.94883428,"W",70.4402322575234
"7904","base-taskset-3",3,400,25,513.08,7.14767041,NA,0,NA,39.9,40.4,40.15,"blue",TRUE,23,3,4865.09650469,"B",71.7828286097484
"7905","taskset-3",3,400,25,682.34,9.68392556,40,0.000222000000007938,146643,38.4,39.2,38.8,"red",FALSE,23,4,4874.78043025,"W",70.4610951181248
"7906","base-taskset-3",3,400,25,492.53,7.19727519,NA,0,NA,38.4,39.2,38.8,"blue",TRUE,23,3,4881.97770544,"B",68.4328425685777
"7907","taskset-3",3,400,25,513.77,9.49949135,45,0.000475000000008663,165004,38.4,39,38.7,"red",FALSE,23,4,4891.47719679,"W",54.0839484000372
"7908","base-taskset-3",3,400,25,341.12,6.91285825,NA,0,NA,35.8,37.8,36.8,"blue",TRUE,23,3,4898.39005504,"B",49.3457246863119
"7909","taskset-3",3,400,25,460.07,9.32405395,42,0.000313000000005559,153887,34.5,35.9,35.2,"red",FALSE,23,4,4907.71410899,"W",49.3422713411048
"7910","base-taskset-3",3,400,25,345.73,6.91421985,NA,0,NA,34.8,35.4,35.1,"blue",TRUE,23,3,4914.62832884,"B",50.002749044782
"7911","taskset-3",3,400,25,468.16,9.36711798,32,0.000179000000002816,117362,35.4,35.4,35.4,"red",FALSE,23,4,4923.99544682,"W",49.9790865236866
"7912","base-taskset-3",3,400,25,330.94,6.86779918,NA,0,NA,35,36.2,35.6,"blue",TRUE,23,3,4930.863246,"B",48.187198158581
"7913","taskset-3",3,400,25,459.32,9.34603445,74,0.000337999999999283,270345,35,36.2,35.6,"red",FALSE,23,4,4940.20928045,"W",49.1459776290467
"7914","base-taskset-3",3,400,25,342.14,6.92471681,NA,0,NA,35,35.9,35.45,"blue",TRUE,23,3,4947.13399726,"B",49.4085187001315
"7915","taskset-3",3,400,25,458.21,9.35655402,64,0.000120000000009668,234155,34,34.4,34.2,"red",FALSE,23,4,4956.49055128,"W",48.9720894060525
"7916","base-taskset-3",3,400,25,340.62,6.92174397,NA,0,NA,35,35.9,35.45,"blue",TRUE,23,3,4963.41229525,"B",49.2101414724821
"7917","taskset-3",3,400,25,471.71,9.37085361,83,0.000251000000005774,302770,34.5,35.4,34.95,"red",FALSE,23,4,4972.78314886,"W",50.3379969031445
"7918","base-taskset-3",3,400,25,341.27,6.894664,NA,0,NA,35,35.9,35.45,"blue",TRUE,23,3,4979.67781286,"B",49.4976985100362
"7919","taskset-3",3,400,25,463.42,9.42807616,124,0.000222000000007938,451898,35,35.9,35.45,"red",FALSE,23,4,4989.10588902,"W",49.1531880030973
"7920","base-taskset-3",3,400,25,340.57,6.88707518,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,4995.9929642,"B",49.4506000150851
"7921","taskset-3",3,400,25,464.21,9.36222232,42,0.000428999999996904,153624,36.9,35.9,36.4,"red",FALSE,23,4,5005.35518652,"W",49.583313035446
"7922","base-taskset-3",3,400,25,340.09,6.87240406,NA,0,NA,35,35.9,35.45,"blue",TRUE,23,3,5012.22759058,"B",49.4863219669304
"7923","taskset-3",3,400,25,458.95,9.34671875,43,9.90000000058444e-05,157604,35,35.9,35.45,"red",FALSE,23,4,5021.57430933,"W",49.1027934268376
"7924","base-taskset-3",3,400,25,340.46,6.90366152,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5028.47797085,"B",49.3158592746302
"7925","taskset-3",3,400,25,464.37,9.3489028,38,0.00018900000000599,138951,34,36.2,35.1,"red",FALSE,23,4,5037.82687365,"W",49.6710694221786
"7926","base-taskset-3",3,400,25,335.54,6.87793858,NA,0,NA,34.5,34.9,34.7,"blue",TRUE,23,3,5044.70481223,"B",48.7849660326568
"7927","taskset-3",3,400,25,470.92,9.39110257,34,0.000256000000007361,124920,35.8,35.4,35.6,"red",FALSE,23,4,5054.0959148,"W",50.1453366619975
"7928","base-taskset-3",3,400,25,340.16,6.88963356,NA,0,NA,34,36.2,35.1,"blue",TRUE,23,3,5060.98554836,"B",49.372727451705
"7929","taskset-3",3,400,25,461.73,9.38153325,55,4.70000000092341e-05,201278,34.5,36.2,35.35,"red",FALSE,23,4,5070.36708161,"W",49.2169017255255
"7930","base-taskset-3",3,400,25,343.49,6.89186824,NA,0,NA,34.5,35.9,35.2,"blue",TRUE,23,3,5077.25894985,"B",49.839896532903
"7931","base-taskset-3",3,200,10,337.64,6.85832077,NA,0,NA,33.5,36.2,34.85,"blue",TRUE,23,3,5084.11727062,"B",49.2307098666078
"7932","taskset-3",3,200,10,453.9,9.29987639,30,0.00154100000000312,55139,34,35.4,34.7,"red",FALSE,23,4,5093.41714701,"W",48.8071003274916
"7933","base-taskset-3",3,200,10,338.06,6.89384121,NA,0,NA,34.5,36.2,35.35,"blue",TRUE,23,3,5100.31098822,"B",49.0379731273213
"7934","taskset-3",3,200,10,458.74,9.3189016,22,0.0010340000000042,40641,34.5,35.4,34.95,"red",FALSE,23,4,5109.62988982,"W",49.2268316257358
"7935","base-taskset-3",3,200,10,349.76,6.9142589,NA,0,NA,34,34.4,34.2,"blue",TRUE,23,3,5116.54414872,"B",50.5853201418304
"7936","taskset-3",3,200,10,457.93,9.33487851,15,0.00310100000000091,27847,41.5,33.9,37.7,"red",FALSE,23,4,5125.87902723,"W",49.055807154795
"7937","base-taskset-3",3,200,10,352.68,6.91618327,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5132.7952105,"B",50.9934433822486
"7938","taskset-3",3,200,10,458.76,9.30895004,22,0.000274000000004548,40533,33.5,34.9,34.2,"red",FALSE,23,4,5142.10416054,"W",49.2816051250394
"7939","base-taskset-3",3,200,10,333.14,6.84416823,NA,0,NA,34,33.4,33.7,"blue",TRUE,23,3,5148.94832877,"B",48.6750162773249
"7940","taskset-3",3,200,10,462.01,9.34080325,30,0.00115499999999713,55137,34,34.4,34.2,"red",FALSE,23,4,5158.28913202,"W",49.4614850173619
"7941","base-taskset-3",3,200,10,333.71,6.87011217,NA,0,NA,34.8,34.9,34.85,"blue",TRUE,23,3,5165.15924419,"B",48.5741705145987
"7942","taskset-3",3,200,10,456.52,9.35108615,45,0.000902000000010617,82369,34,35.4,34.7,"red",FALSE,23,4,5174.51033034,"W",48.8199972363638
"7943","base-taskset-3",3,200,10,336.37,6.89282664,NA,0,NA,34.5,34.9,34.7,"blue",TRUE,23,3,5181.40315698,"B",48.8000087000592
"7944","taskset-3",3,200,10,470.61,9.36019143,23,0.00376700000001051,42440,33.5,35.6,34.55,"red",FALSE,23,4,5190.76334841,"W",50.2778178757825
"7945","base-taskset-3",3,200,10,336.81,6.87864665,NA,0,NA,33.5,35.4,34.45,"blue",TRUE,23,3,5197.64199506,"B",48.9645735764026
"7946","taskset-3",3,200,10,459.97,9.32980895,14,0.00243799999999794,26045,34,34.9,34.45,"red",FALSE,23,4,5206.97180401,"W",49.3011167179367
"7947","base-taskset-3",3,200,10,340.74,6.87853426,NA,0,NA,33.8,34.4,34.1,"blue",TRUE,23,3,5213.85033827,"B",49.5367162712947
"7948","taskset-3",3,200,10,462.35,9.35101,31,0.000608999999997195,56810,34.5,35.9,35.2,"red",FALSE,23,4,5223.20134827,"W",49.4438568667983
"7949","base-taskset-3",3,200,10,333.82,6.87274761,NA,0,NA,34,35.4,34.7,"blue",TRUE,23,3,5230.07409588,"B",48.5715493923107
"7950","taskset-3",3,200,10,463.07,9.34065256,42,0.00133499999999742,76898,34,35.9,34.95,"red",FALSE,23,4,5239.41474844,"W",49.5757654002709
"7951","base-taskset-3",3,200,10,353.87,6.91117185,NA,0,NA,34.5,34.4,34.45,"blue",TRUE,23,3,5246.32592029,"B",51.2026046639254
"7952","taskset-3",3,200,10,463.26,9.35726004,23,0.00264700000001028,42398,34,34.4,34.2,"red",FALSE,23,4,5255.68318033,"W",49.5080822825995
"7953","base-taskset-3",3,200,10,336.3,6.87755184,NA,0,NA,34.5,34.9,34.7,"blue",TRUE,23,3,5262.56073217,"B",48.8982137574117
"7954","taskset-3",3,200,10,461.15,9.3511498,18,0.00410100000000568,33257,34,34.9,34.45,"red",FALSE,23,4,5271.91188197,"W",49.3147912142312
"7955","base-taskset-3",3,200,10,337.32,6.85195056,NA,0,NA,34.5,34.9,34.7,"blue",TRUE,23,3,5278.76383253,"B",49.2297772796539
"7956","taskset-3",3,200,10,464.23,9.31426615,14,0.00616000000000838,26078,33,35.4,34.2,"red",FALSE,23,4,5288.07809868,"W",49.8407488602846
"7957","base-taskset-3",3,200,10,336.41,6.8463624,NA,0,NA,39.8,34.9,37.35,"blue",TRUE,23,3,5294.92446108,"B",49.1370424679827
"7958","taskset-3",3,200,10,463.63,9.35278082,26,0.00280700000000422,47762,34,34.9,34.45,"red",FALSE,23,4,5304.2772419,"W",49.5713530470609
"7959","base-taskset-3",3,200,10,337.62,6.85757658,NA,0,NA,34.5,35.4,34.95,"blue",TRUE,23,3,5311.13481848,"B",49.2331359426102
"7960","taskset-3",3,200,10,458.34,9.33083315,35,0.0009990000000073,64037,33.5,34.9,34.2,"red",FALSE,23,4,5320.46565163,"W",49.1210155226064
"7961","base-taskset-3",3,200,10,339.88,6.85652347,NA,0,NA,33.5,33.9,33.7,"blue",TRUE,23,3,5327.3221751,"B",49.5703108852627
"7962","taskset-3",3,200,10,458.97,9.35543696,23,0.00500200000000461,42462,34.5,34.9,34.7,"red",FALSE,23,4,5336.67761206,"W",49.0591729667323
"7963","base-taskset-3",3,200,10,337.07,6.88029412,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5343.55790618,"B",48.9906382083561
"7964","taskset-3",3,200,10,456.72,9.32681996,24,0.000769000000005349,44262,34,35.4,34.7,"red",FALSE,23,4,5352.88472614,"W",48.9684589129777
"7965","base-taskset-3",3,200,10,338.91,6.87344745,NA,0,NA,33.5,34.4,33.95,"blue",TRUE,23,3,5359.75817359,"B",49.3071348061299
"7966","taskset-3",3,200,10,463.86,9.327275,15,0.0031670000000048,27861,34,35.4,34.7,"red",FALSE,23,4,5369.08544859,"W",49.7315668295402
"7967","base-taskset-3",3,200,10,335.18,6.8842312,NA,0,NA,39.8,38.5,39.15,"blue",TRUE,23,3,5375.96967979,"B",48.6880800865607
"7968","taskset-3",3,200,10,461.64,9.38693701,52,0.0023699999999991,95093,34,35.4,34.7,"red",FALSE,23,4,5385.3566168,"W",49.1789813341892
"7969","base-taskset-3",3,200,10,337.67,6.93047925,NA,0,NA,34,35.4,34.7,"blue",TRUE,23,3,5392.28709605,"B",48.7224602829595
"7970","taskset-3",3,200,10,458.41,9.27943692,19,0.000754000000000588,35200,33,34.4,33.7,"red",FALSE,23,4,5401.56653297,"W",49.4006267785481
"7971","base-taskset-3",3,200,10,334.42,6.87080578,NA,0,NA,34.5,35.4,34.95,"blue",TRUE,23,3,5408.43733875,"B",48.6726027059959
"7972","taskset-3",3,200,10,459.51,9.35775014,22,0.000132000000007793,40474,33.5,34.9,34.2,"red",FALSE,23,4,5417.79508889,"W",49.1047520104015
"7973","base-taskset-3",3,200,10,341.68,6.88232766,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5424.67741655,"B",49.6459943320978
"7974","taskset-3",3,200,10,454.27,9.27600185,18,0.000871000000003619,33256,34.2,36.2,35.2,"red",FALSE,23,4,5433.9534184,"W",48.9726077404782
"7975","base-taskset-3",3,200,10,336.94,6.86248583,NA,0,NA,34,35.9,34.95,"blue",TRUE,23,3,5440.81590423,"B",49.0988263359372
"7976","taskset-3",3,200,10,458.26,9.35469315,20,0.00443100000001095,36879,34,35.4,34.7,"red",FALSE,23,4,5450.17059738,"W",48.9871760251163
"7977","base-taskset-3",3,200,10,335.01,6.89727274,NA,0,NA,34,34.4,34.2,"blue",TRUE,23,3,5457.06787012,"B",48.5713719942007
"7978","taskset-3",3,200,10,463.16,9.34413675,26,0.00423500000000843,47920,34,35.9,34.95,"red",FALSE,23,4,5466.41200687,"W",49.5669115715799
"7979","base-taskset-3",3,200,10,338.07,6.88585351,NA,0,NA,33.5,34.4,33.95,"blue",TRUE,23,3,5473.29786038,"B",49.0963102118041
"7980","taskset-3",3,200,10,469.08,9.35820614,40,0.00110000000000809,73108,40.1,38.5,39.3,"red",FALSE,23,4,5482.65606652,"W",50.1249911556233
"7981","base-taskset-3",3,200,10,339.27,6.86672928,NA,0,NA,33.5,34.9,34.2,"blue",TRUE,23,3,5489.5227958,"B",49.4078019047811
"7982","taskset-3",3,200,10,460.34,9.3237416,21,0.000294000000010897,38806,33.8,34.4,34.1,"red",FALSE,23,4,5498.8465374,"W",49.3728826633291
"7983","base-taskset-3",3,200,10,336.68,6.8758016,NA,0,NA,33,33.9,33.45,"blue",TRUE,23,3,5505.722339,"B",48.9659271145927
"7984","taskset-3",3,200,10,459.65,9.34866115,15,0.00239500000000703,27832,33.5,34.9,34.2,"red",FALSE,23,4,5515.07100015,"W",49.1674682208372
"7985","base-taskset-3",3,200,10,337.59,6.85628185,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5521.927282,"B",49.2380575048851
"7986","taskset-3",3,200,10,476.72,9.38544265,38,0.000638000000009242,69739,34,35.4,34.7,"red",FALSE,23,4,5531.31272465,"W",50.7935552725369
"7987","base-taskset-3",3,200,10,347.59,6.89976986,NA,0,NA,34,35.4,34.7,"blue",TRUE,23,3,5538.21249451,"B",50.377042575736
"7988","taskset-3",3,200,10,461.98,9.32544366,18,0.00300800000000834,33219,33.5,36.2,34.85,"red",FALSE,23,4,5547.53793817,"W",49.5397341771083
"7989","base-taskset-3",3,200,10,339.39,6.83748777,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5554.37542594,"B",49.6366518546621
"7990","taskset-3",3,200,10,465.32,9.35811506,24,0.000576000000009458,44142,34,34.9,34.45,"red",FALSE,23,4,5563.733541,"W",49.723688693351
"7991","base-taskset-3",3,200,10,335.12,6.82583877,NA,0,NA,33.5,34.9,34.2,"blue",TRUE,23,3,5570.55937977,"B",49.0957977901374
"7992","base-taskset-3",3,200,25,335.69,6.86308084,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5577.42246061,"B",48.9124356576864
"7993","taskset-3",3,200,25,458.96,9.2973535,94,8.20000000061327e-05,171451,56.6,35.9,46.25,"red",FALSE,23,4,5586.71981411,"W",49.364585309142
"7994","base-taskset-3",3,200,25,336.83,6.89003514,NA,0,NA,33.5,36.2,34.85,"blue",TRUE,23,3,5593.60984925,"B",48.886543124365
"7995","taskset-3",3,200,25,463.59,9.36496758,60,0.00091199999999958,109569,33.5,36.2,34.85,"red",FALSE,23,4,5602.97481683,"W",49.5025739320285
"7996","base-taskset-3",3,200,25,334.84,6.86208575,NA,0,NA,34,35.4,34.7,"blue",TRUE,23,3,5609.83690258,"B",48.7956595412699
"7997","taskset-3",3,200,25,461.2,9.34616073,50,5.30000000082964e-05,91324,33.5,34.9,34.2,"red",FALSE,23,4,5619.18306331,"W",49.3464657118089
"7998","base-taskset-3",3,200,25,336.33,6.86578687,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5626.04885018,"B",48.9863735021533
"7999","taskset-3",3,200,25,461.19,9.34262664,45,0.00044300000000419,82136,34,34.9,34.45,"red",FALSE,23,4,5635.39147682,"W",49.3640619250948
"8000","base-taskset-3",3,200,25,336.53,6.87646674,NA,0,NA,33.5,34.9,34.2,"blue",TRUE,23,3,5642.26794356,"B",48.9393772593162
"8001","taskset-3",3,200,25,461.11,9.3275372,51,0.00054500000000246,93184,34.5,34.9,34.7,"red",FALSE,23,4,5651.59548076,"W",49.43534291131
"8002","base-taskset-3",3,200,25,339.76,6.89353004,NA,0,NA,33.5,34.4,33.95,"blue",TRUE,23,3,5658.4890108,"B",49.2867947232446
"8003","taskset-3",3,200,25,460.03,9.3096047,40,0.0035129999999981,73124,33.5,35.9,34.7,"red",FALSE,23,4,5667.7986155,"W",49.4145578490567
"8004","base-taskset-3",3,200,25,341.74,6.91190718,NA,0,NA,34.5,33.9,34.2,"blue",TRUE,23,3,5674.71052268,"B",49.4422148765024
"8005","taskset-3",3,200,25,469.48,9.35347354,40,0.000208000000000652,73398,34.5,34.4,34.45,"red",FALSE,23,4,5684.06399622,"W",50.1931178820655
"8006","base-taskset-3",3,200,25,339.06,6.86059657,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5690.92459279,"B",49.4213581195899
"8007","taskset-3",3,200,25,455.18,9.33112296,53,0.000106000000002382,96826,33.5,35.4,34.45,"red",FALSE,23,4,5700.25571575,"W",48.7808382711527
"8008","base-taskset-3",3,200,25,343.01,6.88710819,NA,0,NA,40.1,34.4,37.25,"blue",TRUE,23,3,5707.14282394,"B",49.8046481247451
"8009","taskset-3",3,200,25,466.68,9.371518,63,0.000796000000008235,115211,34,35.9,34.95,"red",FALSE,23,4,5716.51434194,"W",49.7976955280884
"8010","base-taskset-3",3,200,25,341.86,6.86784377,NA,0,NA,33.5,34.4,33.95,"blue",TRUE,23,3,5723.38218571,"B",49.7769039961723
"8011","taskset-3",3,200,25,465.37,9.33100534,110,4.70000000092341e-05,200610,34,35.4,34.7,"red",FALSE,23,4,5732.71319105,"W",49.8735112716161
"8012","base-taskset-3",3,200,25,338.37,6.90127934,NA,0,NA,34,34.4,34.2,"blue",TRUE,23,3,5739.61447039,"B",49.0300396969586
"8013","taskset-3",3,200,25,465.82,9.37538382,36,0.000197999999997478,66007,34.5,35.9,35.2,"red",FALSE,23,4,5748.98985421,"W",49.6854325053116
"8014","base-taskset-3",3,200,25,338.73,6.92405248,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5755.91390669,"B",48.9207730557236
"8015","taskset-3",3,200,25,449.21,9.37565682,50,0.000973999999999364,91333,34,33.9,33.95,"red",FALSE,23,4,5765.28956351,"W",47.9123765539021
"8016","base-taskset-3",3,200,25,335,6.88806689,NA,0,NA,34.2,35.9,35.05,"blue",TRUE,23,3,5772.1776304,"B",48.6348354842994
"8017","taskset-3",3,200,25,466,9.33734949,54,0.000245000000006712,98826,34,35.9,34.95,"red",FALSE,23,4,5781.51497989,"W",49.9070962802743
"8018","base-taskset-3",3,200,25,333.48,6.8976075,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5788.41258739,"B",48.3471986482269
"8019","taskset-3",3,200,25,464.6,9.36237129,68,0.000453000000007364,124176,33.8,35.9,34.85,"red",FALSE,23,4,5797.77495868,"W",49.6241802006124
"8020","base-taskset-3",3,200,25,345.86,6.92426069,NA,0,NA,34.5,34.9,34.7,"blue",TRUE,23,3,5804.69921937,"B",49.9490148456557
"8021","taskset-3",3,200,25,459.83,9.36768383,53,6.70000000013715e-05,96853,33.5,34.9,34.2,"red",FALSE,23,4,5814.0669032,"W",49.0868402846171
"8022","base-taskset-3",3,200,25,333.35,6.85068036,NA,0,NA,34,34.9,34.45,"blue",TRUE,23,3,5820.91758356,"B",48.6594005971109
"8023","taskset-3",3,200,25,463.53,9.35632035,43,0.00179300000000637,78825,34,34.4,34.2,"red",FALSE,23,4,5830.27390391,"W",49.5419120616151
"8024","base-taskset-3",3,200,25,338.18,6.88379687,NA,0,NA,33.5,34.9,34.2,"blue",TRUE,23,3,5837.15770078,"B",49.126958041689
"8025","taskset-3",3,200,25,460.06,9.33942891,39,0.000889000000000806,71389,33.5,35.4,34.45,"red",FALSE,23,4,5846.49712969,"W",49.2599712930413
"8026","base-taskset-3",3,200,25,337.3,6.89727654,NA,0,NA,33,33.9,33.45,"blue",TRUE,23,3,5853.39440623,"B",48.903360339964
"8027","taskset-3",3,200,25,463.45,9.3166556,38,0.000746000000006575,69635,33.5,35.9,34.7,"red",FALSE,23,4,5862.71106183,"W",49.744245134488
"8028","base-taskset-3",3,200,25,339.39,6.90530876,NA,0,NA,33,34.4,33.7,"blue",TRUE,23,3,5869.61637059,"B",49.1491418842798
"8029","taskset-3",3,200,25,459.5,9.3081314,41,0.000473999999996977,75100,33.5,34.4,33.95,"red",FALSE,23,4,5878.92450199,"W",49.3654397702207
"8030","base-taskset-3",3,200,25,334.62,6.89741571,NA,0,NA,33.5,34.4,33.95,"blue",TRUE,23,3,5885.8219177,"B",48.5138222877971
"8031","taskset-3",3,200,25,464.94,9.36141572,52,0.00102700000000766,95203,34.8,35.9,35.35,"red",FALSE,23,4,5895.18333342,"W",49.6655649002628
"8032","base-taskset-3",3,200,25,337.53,6.89434975,NA,0,NA,33,34.9,33.95,"blue",TRUE,23,3,5902.07768317,"B",48.9574814506618
"8033","taskset-3",3,200,25,459.33,9.33700211,40,0.000207000000003177,73230,34,35.4,34.7,"red",FALSE,23,4,5911.41468528,"W",49.1945910034715
"8034","base-taskset-3",3,200,25,338.06,6.88933554,NA,0,NA,35,34.4,34.7,"blue",TRUE,23,3,5918.30402082,"B",49.0700442789001
"8035","taskset-3",3,200,25,462.6,9.34327051,94,0.000207000000003177,171510,34,35.4,34.7,"red",FALSE,23,4,5927.64729133,"W",49.5115708685609
