"","work","dimension","population_size","max_gens","PKG","seconds","generations","diff_fitness","evaluations","initial_temp_1","initial_temp_2","initial_temp","color","base","shape","size","cum_seconds","run","power"
"100","base-europar-test",10,400,25,308.84,6.81669381,NA,0,NA,33.2,31.5,32.35,"blue",TRUE,21,3,810.35532206,"B",45.3064210610334
"101","europar-test",10,400,25,418.86,9.20354044,34,6.378709,126207,33.2,31.5,32.35,"red",FALSE,21,4,819.5588625,"W",45.5107469490295
"102","base-europar-test",10,400,25,310.39,6.87478872,NA,0,NA,34.5,32,33.25,"blue",TRUE,21,3,826.43365122,"B",45.14902386702
"103","europar-test",10,400,25,411.9,9.25119768,69,2.87434,255258,36.9,33.5,35.2,"red",FALSE,21,4,835.6848489,"W",44.5239648148995
"104","base-europar-test",10,400,25,309.71,6.89056633,NA,0,NA,33.8,31,32.4,"blue",TRUE,21,3,842.57541523,"B",44.9469586631205
"105","europar-test",10,400,25,413.5,9.30497328,59,3.959994,218438,37.4,34.6,36,"red",FALSE,21,4,851.88038851,"W",44.4386015474942
"106","base-europar-test",10,400,25,310.52,6.87222905,NA,0,NA,33.5,31.1,32.3,"blue",TRUE,21,3,858.75261756,"B",45.1847570476423
"107","europar-test",10,400,25,421.38,9.2976678,33,4.704301,122493,36.4,33.2,34.8,"red",FALSE,21,4,868.05028536,"W",45.3210427673056
"108","base-europar-test",10,400,25,312.77,6.85685164,NA,0,NA,39.6,38,38.8,"blue",TRUE,21,3,874.907137,"B",45.6142288649547
"109","europar-test",10,400,25,419.39,9.30365299,48,6.072124,177918,33.2,31.6,32.4,"red",FALSE,21,4,884.21078999,"W",45.0779925316196
"110","base-europar-test",10,400,25,309.93,6.85602478,NA,0,NA,36.1,31.8,33.95,"blue",TRUE,21,3,891.06681477,"B",45.2054958879539
"111","europar-test",10,400,25,424.05,9.24666647,50,6.555848,185389,41.2,35.6,38.4,"red",FALSE,21,4,900.31348124,"W",45.8597702616173
